Rank,Year,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach
39,2021,Lincare Holdings Inc.,FL,Healthcare Provider,"2,918,444",Hacking/IT Incident
40,2024,"Acadian Ambulance Service, Inc.",LA,Healthcare Provider,"2,896,985",Hacking/IT Incident
41,2023,"Navvis & Company, LLC",MO,Business Associate,"2,824,726",Hacking/IT Incident
42,2024,A&A Services d/b/a Sav-Rx,NE,Business Associate,"2,812,336",Hacking/IT Incident
43,2023,"ESO Solutions, Inc.",TX,Business Associate,"2,700,000",Hacking/IT Incident
44,2022,"Connexin Software, Inc.",PA,Business Associate,"2,675,934",Hacking/IT Incident
45,2018,"AccuDoc Solutions, Inc.",NC,Business Associate,"2,652,537",Hacking/IT Incident
46,2023,Harvard Pilgrim Health Care,MA,Health Plan,"2,624,191",Hacking/IT Incident
47,2021,"NEC Networks, LLC d/b/a CaptureRx",TX,Business Associate,"2,600,000",Hacking/IT Incident
48,2021,"Smile Brands, Inc.",CA,Business Associate,"2,592,494",Hacking/IT Incident
49,2024,"WebTPA Employer Services, LLC (“WebTPA”)",TX,Business Associate,"2,518,533",Hacking/IT Incident
50,2023,Norton Healthcare Inc.,KY,Healthcare Provider,"2,500,000",Hacking/IT Incident
51,2023,"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,"2,470,000",Hacking/IT Incident
52,2023,"Florida Health Sciences Center, Inc. dba Tampa General Hospital",FL,Healthcare Provider,"2,430,920",Hacking/IT Incident
53,2021,"Forefront Dermatology, S.C.",WI,Healthcare Provider,"2,413,553",Hacking/IT Incident
54,2024,INTEGRIS Health,OK,Healthcare Provider,"2,385,646",Hacking/IT Incident
55,2022,"Shields Health Care Group, Inc.",MA,Business Associate,"2,380,483",Hacking/IT Incident
56,2023,"Postmeds, Inc.",CA,Healthcare Provider,"2,364,359",Hacking/IT Incident
57,2024,"Medical Management Resource Group, L.L.C.",AZ,Business Associate,"2,350,236",Hacking/IT Incident
58,2023,Centers for Medicare & Medicaid Services,MD,Health Plan,"2,342,357",Hacking/IT Incident
59,2016,21st Century Oncology,FL,Healthcare Provider,"2,213,597",Hacking/IT Incident
60,2023,"Berry, Dunn, McNeil & Parker, LLC",ME,Business Associate,"2,068,426",Hacking/IT Incident
61,2014,"Xerox State Healthcare, LLC",TX,Business Associate,"2,000,000",Unauthorized Access/Disclosure
62,2023,"Arietis Health, LLC",FL,Business Associate,"1,975,066",Hacking/IT Incident
63,2023,Great Expressions Dental Centers,MI,Healthcare Provider,"1,925,397",Hacking/IT Incident
64,2022,"Professional Finance Company, Inc.",CO,Business Associate,"1,918,941",Hacking/IT Incident
65,2011,IBM,NY,Business Associate,"1,900,000",Unknown
66,2022,Apria Healthcare LLC,IN,Healthcare Provider,"1,868,831",Hacking/IT Incident
67,2023,"Pension Benefit Information, LLC",MN,Business Associate,"1,866,694",Hacking/IT Incident
68,2023,Fred Hutchinson Cancer Center,WA,Healthcare Provider,"1,840,927",Hacking/IT Incident
69,2024,"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,"1,813,538",Hacking/IT Incident
70,2023,Performance Health Technology,OR,Business Associate,"1,752,076",Hacking/IT Incident
71,2023,NASCO,GA,Business Associate,"1,744,655",Hacking/IT Incident
72,2019,"Clinical Pathology Laboratories, Inc.",TX,Healthcare Provider,"1,733,836",Hacking/IT Incident
73,2024,OnePoint Patient Care,AZ,Healthcare Provider,"1,741,152",Hacking/IT Incident
74,2020,"Dental Care Alliance, LLC",FL,Business Associate,"1,723,375",Hacking/IT Incident
75,2011,GRM Information Management Services,NJ,Business Associate,"1,700,000",Theft
76,2022,Baptist Medical Center,TX,Healthcare Provider,"1,608,549",Hacking/IT Incident
77,2019,Inmediata Health Group,PR,Healthcare Clearing House,"1,565,338",Unauthorized Access/Disclosure
78,2021,Eskenazi Health,IN,Healthcare Provider,"1,515,918",Hacking/IT Incident
79,2022,"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,"1,500,000",Unauthorized Access/Disclosure
